Territory,local_id,males,females,total
Piemonte,01,2115079,2241327,4356406
Valle d'Aosta / Vallée d'Aoste,02,61423,64243,125666
Liguria,07,741760,808880,1550640
Lombardia,03,4924451,5136123,10060574
Trentino Alto Adige / Südtirol,04,528210,544066,1072276
Veneto,05,2399783,2506071,4905854
Friuli-Venezia Giulia,06,590802,624418,1215220
Emilia-Romagna,08,2168535,2290942,4459477
Toscana,09,1800741,1928900,3729641
Umbria,10,424819,457196,882015
Marche,11,740927,784344,1525271
Lazio,12,2838406,3040676,5879082
Abruzzo,13,640136,671444,1311580
Molise,14,150580,155037,305617
Campania,15,2828490,2973202,5801692
Puglia,16,1959903,2069150,4029053
Basilicata,17,276697,286172,562869
Calabria,18,955673,991458,1947131
Sicilia,19,2432589,2567302,4999891
Sardegna,20,805762,833829,1639591
